vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
1C4JJXN68P,WA,Bremerton,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2023
1C4JJXP65M,WA,Battle Ground,Clark,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4JJXP67N,WA,Bellevue,King,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2022
1C4JJXP68M,WA,Medina,King,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4JJXP68N,WA,Kelso,Cowlitz,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2022
1C4JJXP69M,WA,Vancouver,Clark,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4JJXP6XN,WA,Port Orchard,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2022
1C4JJXR61M,WA,Maple Valley,King,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4JJXR62M,WA,Lacey,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4JJXR66M,WA,Camas,Clark,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2021
1C4RJXN67R,WA,Port Orchard,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,WRANGLER,2024
1C4RJYC61P,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,GRAND CHEROKEE,2023
1C4RJYC64N,WA,Lake Stevens,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),JEEP,GRAND CHEROKEE,2022
1FADP3R4XG,WA,Kirkland,King,Battery Electric Vehicle (BEV),FORD,FOCUS,2016
1FADP5CU1D,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2013
1FADP5CU3D,WA,Port Townsend,Jefferson,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2013
1FADP5CU4D,WA,Vancouver,Clark,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2013
1FADP5CU4G,WA,Poulsbo,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2016
1FADP5CU5E,WA,Oak Harbor,Island,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2014
1FADP5CUXD,WA,Yakima,Yakima,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2013
1FADP5CUXG,WA,Kirkland,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2016
1FADP5EU7H,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,C-MAX,2017
